code_fase,name
1738,COLLEGE SAINT-ELOI                                                                                                                                                                                                                                        
1751,INSTITUT DE L'INSTRUCTION CHRETIENNE-ABBAYE DE FLONE                                                                                                                                                                                                      
1762,PETIT SEMINAIRE DE SAINT-ROCH                                                                                                                                                                                                                             
1775,ATHENEE ROYAL DE HUY                                                                                                                                                                                                                                      
1777,COLLEGE SAINT-QUIRIN                                                                                                                                                                                                                                      
1778,INSTITUT SAINTE-MARIE                                                                                                                                                                                                                                     
1779,ECOLE POLYTECHNIQUE DE HUY-ENSEIGNEMENT DE LA PROVINCE DE LIEGE                                                                                                                                                                                           
1780,INSTITUT PROVINCIAL D'ENSEIGNEMENT SECONDAIRE DE HUY                                                                                                                                                                                                      
1781,INSTITUT DON BOSCO                                                                                                                                                                                                                                        
1787,INSTITUT TECHNIQUE DE LA COMMUNAUTE FRANCAISE                                                                                                                                                                                                             
1792,ATHENEE ROYAL PRINCE BAUDOUIN                                                                                                                                                                                                                             
1801,ATHENEE ROYAL D'OUFFET                                                                                                                                                                                                                                    
1802,INSTITUT LIBRE DU CONDROZ SAINT-FRANCOIS                                                                                                                                                                                                                  
1826,ATHENEE ROYAL D'ANS                                                                                                                                                                                                                                       
1827,COLLEGE SAINT-FRANCOIS D'ASSISE                                                                                                                                                                                                                           
1837,ATHENEE ROYAL AYWAILLE                                                                                                                                                                                                                                    
1839,CENTRE SCOLAIRE SAINT-JOSEPH - SAINT-RAPHAEL                                                                                                                                                                                                              
1855,COLLEGE EPISCOPAL DU SARTAY                                                                                                                                                                                                                               
1870,ATHENEE ROYAL D'ESNEUX                                                                                                                                                                                                                                    
1880,INSTITUT SAINTE-JULIENNE                                                                                                                                                                                                                                  
1881,INSTITUT SAINT-LAURENT                                                                                                                                                                                                                                    
1897,ATHENEE ROYAL DE HERSTAL                                                                                                                                                                                                                                  
1898,COLLEGE NOTRE-DAME ET SAINT-LAMBERT ET INSTITUT SAINT-LAURENT
1899,NOTRE-DAME SAINT LAMBERT ET SAINT-LAURENT DOA                                                                                                                                                                                                             
1901,ECOLE POLYTECHNIQUE DE HERSTAL - ENSEIGNEMENT DE LA PROVINCE DE LIEGE                                                                                                                                                                                     
1902,INSTITUT PROVINCIAL D'ENSEIGNEMENT SECONDAIRE DE HERSTAL                                                                                                                                                                                                  
1981,INSTITUT MARIA GORETTI                                                                                                                                                                                                                                    
1984,ATHENEE ROYAL DE CHENEE                                                                                                                                                                                                                                   
1985,COLLEGE SAINT-JOSEPH                                                                                                                                                                                                                                      
1986,INSTITUT SAINTE-THERESE D'AVILA                                                                                                                                                                                                                           
1987,ATHENEE ROYAL CHARLEMAGNE                                                                                                                                                                                                                                 
1988,INSTITUT NOTRE-DAME DE JUPILLE                                                                                                                                                                                                                            
1992,D.O.A. SAINT-LOUIS                                                                                                                                                                                                                                        
1994,ATHENEE ROYAL CHARLES ROGIER                                                                                                                                                                                                                              
1995,ATHENEE COMMUNAL MAURICE DESTENAY                                                                                                                                                                                                                         
1997,INSTITUT SAINT-JOSEPH ET SAINTE-JULIENNE                                                                                                                                                                                                                  
1998,LYCEE SAINT-JACQUES                                                                                                                                                                                                                                       
1999,CENTRE SCOLAIRE SAINTE-VERONIQUE - MARIE-JOSE                                                                                                                                                                                                             
2000,CENTRE SCOLAIRE SAINT-LOUIS                                                                                                                                                                                                                               
2001,COLLEGE SAINT-BARTHELEMY                                                                                                                                                                                                                                  
2002,LYCEE SAINT-BENOIT - SAINT-SERVAIS D.O.A.                                                                                                                                                                                                                 
